report_quarter,sector,average close
2020Q4,Consumer Cyclical,106.8766744471033
2020Q4,Consumer Defensive,88.5068283054158
2020Q4,Energy,20.043534245725173
2020Q4,Financial Services,50.84992207774655
2020Q4,Healthcare,128.92011454638322
2020Q4,Industrials,83.11295163637563
2020Q4,Other,101.0542272228842
2020Q4,Real Estate,51.610287100530165
2020Q4,Technology,108.9829082137641
2020Q4,Utilities,70.18062582983437
2021Q1,Basic Materials,69.88411537958758
2021Q1,Communication Services,82.91647687336635
2021Q1,Consumer Cyclical,118.17627370766044
2021Q1,Consumer Defensive,89.9438043054949
2021Q1,Energy,26.39013517725639
2021Q1,Financial Services,56.582088699130985
2021Q1,Healthcare,138.62558999043642
2021Q1,Industrials,93.43501423282592
2021Q1,Other,89.13396709068022
2021Q1,Real Estate,54.72346482011123
2021Q1,Technology,127.80791585388981
2021Q1,Utilities,68.91014592636621
2021Q2,Basic Materials,68.36356304762135
2021Q2,Communication Services,86.06319099715083
2021Q2,Consumer Cyclical,119.77989533359833
2021Q2,Consumer Defensive,87.54489873770403
2021Q2,Energy,29.20989244514578
2021Q2,Financial Services,57.07840411351168
2021Q2,Healthcare,127.21676115173914
2021Q2,Industrials,91.97901057277595
2021Q2,Other,80.76887768053248
2021Q2,Real Estate,56.637150474186356
2021Q2,Technology,125.1701166506933
2021Q2,Utilities,69.27981070850606
2021Q3,Basic Materials,63.68324799460988
2021Q3,Communication Services,72.07126404351384
2021Q3,Consumer Cyclical,108.40930730338208
2021Q3,Consumer Defensive,75.73291071088195
2021Q3,Energy,28.307253301298942
2021Q3,Financial Services,54.44626114356127
2021Q3,Healthcare,112.63660527138173
2021Q3,Industrials,86.50165391013951
2021Q3,Other,76.74213678219951
2021Q3,Real Estate,55.18353979582229
2021Q3,Technology,113.73896001714688
2021Q3,Utilities,62.25087225199404
2021Q4,Basic Materials,67.58026580032822
2021Q4,Communication Services,63.68108080822251
2021Q4,Consumer Cyclical,112.20202730760845
2021Q4,Consumer Defensive,73.73898332012513
2021Q4,Energy,27.443282228412194
2021Q4,Financial Services,51.03505085852863
2021Q4,Healthcare,93.44575066260002
2021Q4,Industrials,89.28654609514602
2021Q4,Other,88.10513690280477
2021Q4,Real Estate,56.95769670150519
2021Q4,Technology,107.971181160919
2021Q4,Utilities,62.228067160584246
2022Q1,Basic Materials,67.29553021590277
2022Q1,Communication Services,54.01829853157647
2022Q1,Consumer Cyclical,88.16733407636889
2022Q1,Consumer Defensive,67.19579510588487
2022Q1,Energy,34.97138338985838
2022Q1,Financial Services,45.449738524176965
2022Q1,Healthcare,79.38031748509478
2022Q1,Industrials,79.6940281810132
2022Q1,Other,70.72446994702999
2022Q1,Real Estate,51.4455752981001
2022Q1,Technology,90.60128415430273
2022Q1,Utilities,60.547030060625495
2022Q2,Basic Materials,52.049840984792205
2022Q2,Communication Services,41.42250166428892
2022Q2,Consumer Cyclical,69.38329027850953
2022Q2,Consumer Defensive,59.35971037308275
2022Q2,Energy,30.71166884409042
2022Q2,Financial Services,37.123260203135985
2022Q2,Healthcare,61.513899168312015
2022Q2,Industrials,64.84107500367178
2022Q2,Other,64.20886491705795
2022Q2,Real Estate,41.00675753908248
2022Q2,Technology,60.93379520733107
2022Q2,Utilities,53.72162031964877
2022Q3,Basic Materials,48.22784957911039
2022Q3,Communication Services,33.91869284963775
2022Q3,Consumer Cyclical,65.62846581816103
2022Q3,Consumer Defensive,54.104816240924784
2022Q3,Energy,31.392317693283783
2022Q3,Financial Services,34.84714132781667
2022Q3,Healthcare,58.32775640417669
2022Q3,Industrials,62.17725661787829
2022Q3,Other,60.0106038455213
2022Q3,Real Estate,35.797791982553086
2022Q3,Technology,60.36764223164404
2022Q3,Utilities,49.85598545334456
2022Q4,Basic Materials,51.787766398347785
2022Q4,Communication Services,32.72104589318196
2022Q4,Consumer Cyclical,69.96021649569163
2022Q4,Consumer Defensive,58.18939962117037
2022Q4,Energy,35.66211639592455
2022Q4,Financial Services,36.541866580205955
2022Q4,Healthcare,57.58134454599764
2022Q4,Industrials,67.83843083406734
2022Q4,Other,53.9113349484864
2022Q4,Real Estate,36.254950109720916
2022Q4,Technology,57.59612519193409
2022Q4,Utilities,51.6041077380766
2023Q1,Basic Materials,53.30520186331402
2023Q1,Communication Services,35.720622030524716
2023Q1,Consumer Cyclical,77.18281568152106
2023Q1,Consumer Defensive,60.47774179929953
2023Q1,Energy,32.71326500116126
2023Q1,Financial Services,35.35036367599188
2023Q1,Healthcare,56.854597025446225
2023Q1,Industrials,71.83172338181592
2023Q1,Other,52.613503093668236
2023Q1,Real Estate,35.52887979149569
2023Q1,Technology,62.646148951942486
2023Q1,Utilities,49.256902398666504
2023Q2,Basic Materials,53.24575884920185
2023Q2,Communication Services,35.74036041366516
2023Q2,Consumer Cyclical,78.9619523489396
2023Q2,Consumer Defensive,58.49040614992453
2023Q2,Energy,32.17906473386094
2023Q2,Financial Services,35.486978925394105
