,report_date,close (%),close,change_day,close_1yr_ago,close_1mo_ago,change_year,change_month,month,day,month_rotation,year,day_degrees,distance_from_center,x,y,cont_time
0,2019-01-02,0.0,63.21500656719746,0.0,,,,,1,2,0,2019,0.0,40.0,0.0,40.0,0
1,2019-01-03,-1.4916635515063903,62.27205135515221,-0.9429552120452556,,,,,1,3,0,2019,1.0344827586206897,38.50833644849361,0.6952352536319004,38.50205999647926,1
2,2019-01-04,1.5380284778003723,64.18727137044434,1.9152200152921282,,,,,1,4,0,2019,2.0689655172413794,41.538028477800374,1.4996230688624161,41.510949645531966,2
3,2019-01-07,2.9867540412219813,65.10308333050197,0.9158119600576384,,,,,1,7,0,2019,5.172413793103448,42.98675404122198,3.875388323822683,42.81170854264161,3
4,2019-01-08,4.059381350377778,65.78114475442636,0.6780614239243903,,,,,1,8,0,2019,6.206896551724138,44.05938135037778,4.763657063968971,43.80110336914945,4
5,2019-01-09,5.355364691261379,66.60040070847572,0.8192559540493534,,,,,1,9,0,2019,7.241379310344828,45.35536469126138,5.7170306216244065,44.99360695864167,5
6,2019-01-10,6.054221286568449,67.04218295109438,0.4417822426186575,,,,,1,10,0,2019,8.275862068965518,46.05422128656845,6.629013040628048,45.57463641565776,6
7,2019-01-11,6.157782882537263,67.10764942078715,0.06546646969277958,,,,,1,11,0,2019,9.310344827586206,46.15778288253726,7.467498271185905,45.54972437020103,7
8,2019-01-14,5.349121017144957,66.59645376947299,-0.5111956513141678,,,,,1,14,0,2019,12.413793103448276,45.34912101714496,9.748720508238655,44.288883768728084,8
9,2019-01-15,6.332819887423935,67.21829907492129,0.6218453054483035,,,,,1,15,0,2019,13.448275862068966,46.33281988742394,10.775506030800994,45.06238640485697,9
10,2019-01-16,6.609029467183644,67.39290497890562,0.17460590398432885,,,,,1,16,0,2019,14.482758620689657,46.609029467183646,11.656389670263724,45.12793156934807,10
11,2019-01-17,7.0579337131442195,67.67667982747002,0.2837748485644056,,,,,1,17,0,2019,15.517241379310345,47.05793371314422,12.58933082089568,45.342671677270204,11
12,2019-01-18,8.021547124269771,68.28582810859544,0.6091482811254139,,,,,1,18,0,2019,16.551724137931036,48.02154712426977,13.680417223568377,46.03167575482731,12
13,2019-01-22,6.284468831384116,67.18773395167041,-1.098094156925029,,,,,1,22,0,2019,20.689655172413794,46.28446883138412,16.352577878080925,43.29948327341409,13
14,2019-01-23,6.170260060612084,67.11553686972655,-0.07219708194385532,,,,,1,23,0,2019,21.724137931034484,46.17026006061209,17.089374890399082,42.89109674419563,14
15,2019-01-24,6.764729790539178,67.49133094853997,0.37579407881341353,,,,,1,24,0,2019,22.75862068965517,46.76472979053918,18.090922208243594,43.12375779123871,15
16,2019-01-25,7.626093310770074,68.03584195442137,0.5445110058814038,,,,,1,25,0,2019,23.793103448275865,47.626093310770074,19.214040669772263,43.57826757899533,16
17,2019-01-28,7.073370461975687,67.6864381692576,-0.3494037851637728,,,,,1,28,0,2019,26.896551724137932,47.073370461975685,21.295100133254998,41.981197183561214,17
18,2019-01-29,6.976264951769448,67.62505291460361,-0.06138525465398459,,,,,1,29,0,2019,27.93103448275862,46.97626495176945,22.004079015958528,41.50409588797588,18
19,2019-01-30,8.05899947422374,68.30950361407841,0.6844506994747945,,,,,1,30,0,2019,28.965517241379313,48.05899947422374,23.27416381403102,42.04736292826325,19
20,2019-01-31,8.732253974432956,68.73510149059962,0.4255978765212092,,,,,1,31,0,2019,30.0,48.73225397443296,24.366126987216475,42.20336992553412,20
21,2019-02-01,8.903504137404985,68.84335729236872,0.10825580176910421,,,,,2,1,30,2019,30.0,48.90350413740499,24.45175206870249,42.35167691707012,21
22,2019-02-04,9.635034647258015,69.30579435221337,0.4624370598446461,,64.18727137044434,,5.118522981769033,2,4,30,2019,33.333333333333336,49.63503464725802,27.274897165523807,41.46946646684287,22
