,symbol,report_date,open,close,high,low,volume,country,industry,sector,close (%)
13471,AAP,2019-01-02,201.58694715336097,203.8589311889009,206.4407312292872,198.56624110610903,1291000,United States,Auto Parts,Consumer Cyclical,0.0
13472,AAP,2019-01-03,204.2591101951608,210.2230682884531,211.79796631308872,203.62656918526616,1514700,United States,Auto Parts,Consumer Cyclical,3.121833839918957
13473,AAP,2019-01-04,211.927056315108,205.0078322068728,212.3530533217718,204.58183520020907,1423000,United States,Auto Parts,Consumer Cyclical,0.5635764944275715
13474,AAP,2019-01-07,208.71271526482712,208.0156292539228,211.15251630299213,202.4518501668904,2088300,United States,Auto Parts,Consumer Cyclical,2.039007092198581
13475,AAP,2019-01-08,209.13871227149085,206.5698212313065,210.3521582904724,202.903665173958,1604700,United States,Auto Parts,Consumer Cyclical,1.3297872340425658
13476,AAP,2019-01-09,210.0036152850203,212.26269032035827,214.01831434782093,208.1318102557402,1429900,United States,Auto Parts,Consumer Cyclical,4.122340425531927
13477,AAP,2019-01-10,210.45543029208787,213.08886633328183,213.2954103365128,207.52508724624943,999100,United States,Auto Parts,Consumer Cyclical,4.527608915906788
13478,AAP,2019-01-11,212.3659623219737,205.7952812191906,214.84449036074452,205.57582821575775,1299600,United States,Auto Parts,Consumer Cyclical,0.9498480243161044
13479,AAP,2019-01-14,203.6911141862758,204.8916512050554,205.88564422060412,202.2711241640633,1307700,United States,Auto Parts,Consumer Cyclical,0.5065856129685918
13480,AAP,2019-01-15,204.7625612030361,206.90545523655672,209.53889127775076,204.00093019112217,1023700,United States,Auto Parts,Consumer Cyclical,1.4944275582573496
13481,AAP,2019-01-16,207.69290424887453,209.69379928017392,209.71961728057775,205.2918302113153,1158000,United States,Auto Parts,Consumer Cyclical,2.8622087132725547
13482,AAP,2019-01-17,209.112894271087,214.6508553577156,216.1224813807357,208.4803532611924,1455100,United States,Auto Parts,Consumer Cyclical,5.293819655521796
13483,AAP,2019-01-18,215.87721037689903,216.36775238457247,217.8781054081984,211.26869730480956,1777300,United States,Auto Parts,Consumer Cyclical,6.136018237082083
13484,AAP,2019-01-22,215.15430636559088,211.87542031430036,217.41338140092887,209.46143727653916,1384200,United States,Auto Parts,Consumer Cyclical,3.932370820668704
13485,AAP,2019-01-23,211.7592393124829,212.13360031833895,215.06394336417736,209.33234727451983,1207800,United States,Auto Parts,Consumer Cyclical,4.059017223910863
13486,AAP,2019-01-24,212.3530533217718,201.78058215638995,212.95977633126256,200.9156791428605,1298000,United States,Auto Parts,Consumer Cyclical,-1.0195035460992834
13487,AAP,2019-01-25,202.4518501668904,197.79170109399317,202.4518501668904,193.9448190338176,1800700,United States,Auto Parts,Consumer Cyclical,-2.9761904761904723
13488,AAP,2019-01-28,195.76498806228992,199.90877712710991,200.15404813094665,193.6995480299809,1311500,United States,Auto Parts,Consumer Cyclical,-1.937689969604848
13489,AAP,2019-01-29,198.9922381127728,200.59295413781223,200.67040813902383,195.89407806430924,1076200,United States,Auto Parts,Consumer Cyclical,-1.6020770010131675
13490,AAP,2019-01-30,201.6256741539668,205.3047392115172,206.80218323494125,200.8640431420528,1016500,United States,Auto Parts,Consumer Cyclical,0.7092198581560287
13491,AAP,2019-01-31,204.47856319859363,205.5112832147481,206.6860022331239,201.0964051456876,1586600,United States,Auto Parts,Consumer Cyclical,0.8105369807497471
13492,AAP,2019-02-01,205.79726313462476,204.6904110627312,208.0881895159858,204.03402204335245,941500,United States,Auto Parts,Consumer Cyclical,0.4078702213246624
13493,AAP,2019-02-04,205.44976306554184,207.66346720932893,208.0109672784118,203.04300332781983,665600,United States,Auto Parts,Consumer Cyclical,1.866259181405524
13494,AAP,2019-02-05,209.0019859939444,207.8050413115479,209.76133799675503,205.44976306554184,932600,United States,Auto Parts,Consumer Cyclical,1.9357062747427276
13495,AAP,2019-02-06,207.70207832811596,202.34800318965412,208.2426339911337,201.6787437973464,1212000,United States,Auto Parts,Consumer Cyclical,-0.741163504799641
13496,AAP,2019-02-07,205.92596686391465,209.95439359069,210.1217084387669,203.3518922781157,1375900,United States,Auto Parts,Consumer Cyclical,2.990039419043594
13497,AAP,2019-02-08,208.48717107678465,209.0277267398024,210.57217149128172,207.36744863196208,740700,United States,Auto Parts,Consumer Cyclical,2.535476626291119
13498,AAP,2019-02-11,209.06633785858932,212.52846817648893,212.8116163809268,209.06633785858932,917500,United States,Auto Parts,Consumer Cyclical,4.252713843356029
13499,AAP,2019-02-12,213.48087577323452,216.08069110489143,216.9172653452761,212.9789312290037,1264300,United States,Auto Parts,Consumer Cyclical,5.995204548907173
13500,AAP,2019-02-13,217.09745056628205,214.24022777604523,218.2557841298916,213.17198682293863,1104700,United States,Auto Parts,Consumer Cyclical,5.092392335523804
