,symbol,report_date,open,close,high,low,volume,country,industry,sector,close (%)
134316,ADM,2019-01-02,52.37181381923576,52.86235582690915,53.12053583094777,52.32017781842803,2497000,United States,Farm Products,Consumer Defensive,0.0
134317,ADM,2019-01-03,52.65581182367824,52.62999382327438,53.36580683478448,52.15236081580292,3273000,United States,Farm Products,Consumer Defensive,-0.4395604395604464
134318,ADM,2019-01-04,53.14635383135164,53.84343984225593,53.97252984427525,53.04308182973619,3117100,United States,Farm Products,Consumer Defensive,1.8559218559218431
134319,ADM,2019-01-07,53.6239868388231,54.1145288464965,54.785796856996924,53.53362383740958,3970100,United States,Farm Products,Consumer Defensive,2.3687423687423657
134320,ADM,2019-01-08,54.514707852756366,55.121430862247145,55.17306686305487,54.25652784871774,5096800,United States,Farm Products,Consumer Defensive,4.2735042735042645
134321,ADM,2019-01-09,55.121430862247145,55.599063869718606,56.089605877392,55.121430862247145,3530100,United States,Farm Products,Consumer Defensive,5.177045177045165
134322,ADM,2019-01-10,55.599063869718606,55.98633387577655,56.01215187618041,55.2247028638626,2934100,United States,Farm Products,Consumer Defensive,5.90964590964589
134323,ADM,2019-01-11,55.99924287597848,55.71524487153599,56.12833287799779,55.35379286588192,2513600,United States,Farm Products,Consumer Defensive,5.396825396825381
134324,ADM,2019-01-14,55.52160986850701,55.31506586527612,55.68942687113213,55.09561286184328,3107600,United States,Farm Products,Consumer Defensive,4.639804639804634
134325,ADM,2019-01-15,55.41833786689157,56.12833287799779,56.179968878805525,55.37961086628577,2773300,United States,Farm Products,Consumer Defensive,6.178266178266163
134326,ADM,2019-01-16,56.179968878805525,55.89597087436302,56.59305688526733,55.77978987254565,3497200,United States,Farm Products,Consumer Defensive,5.7387057387057165
134327,ADM,2019-01-17,56.11542387779586,56.03796987658427,56.11542387779586,55.48288286790122,2867500,United States,Farm Products,Consumer Defensive,6.007326007325989
134328,ADM,2019-01-18,56.37360388183449,57.13523489374844,57.47086889899867,56.347785881430624,2646400,United States,Farm Products,Consumer Defensive,8.083028083028061
134329,ADM,2019-01-22,56.90287289011368,56.23160487961325,56.90287289011368,55.79269887274758,3115500,United States,Farm Products,Consumer Defensive,6.373626373626371
134330,ADM,2019-01-23,56.37360388183449,56.42523988264222,56.60596588546926,55.62488187012247,2554700,United States,Farm Products,Consumer Defensive,6.739926739926728
134331,ADM,2019-01-24,56.15415087840166,56.37360388183449,56.86414588950788,56.12833287799779,2181000,United States,Farm Products,Consumer Defensive,6.642246642246629
134332,ADM,2019-01-25,56.56723888486346,56.43814888284415,56.92869089051754,56.36069488163256,1996200,United States,Farm Products,Consumer Defensive,6.764346764346748
134333,ADM,2019-01-28,56.283240880420976,57.019053891931065,57.031962892133,56.05087887678621,2281200,United States,Farm Products,Consumer Defensive,7.863247863247859
134334,ADM,2019-01-29,57.21268889496003,57.07068989273879,57.45795989879673,56.786691888296296,3404200,United States,Farm Products,Consumer Defensive,7.960927960927957
134335,ADM,2019-01-30,57.27723389596969,57.69032190243149,57.9355929062682,57.031962892133,2857600,United States,Farm Products,Consumer Defensive,9.133089133089117
134336,ADM,2019-01-31,57.406323897989004,57.96141090667205,58.14213690949909,57.32886989677741,5076200,United States,Farm Products,Consumer Defensive,9.645909645909624
134337,ADM,2019-02-01,57.96815967219198,57.77510407825706,58.08399302855293,57.60778923018013,2337700,United States,Farm Products,Consumer Defensive,9.293472026547692
134338,ADM,2019-02-04,57.6592707218961,57.26028916109728,57.800844824115046,56.92565946494341,3226400,United States,Farm Products,Consumer Defensive,8.319593906462625
134339,ADM,2019-02-05,55.2525109841741,53.86251070784268,56.25640007263569,53.30908467189591,10306500,United States,Farm Products,Consumer Defensive,1.8919983139011152
134340,ADM,2019-02-06,53.669455113907766,53.88825145370067,53.92686257248765,53.28334392603792,6194600,United States,Farm Products,Consumer Defensive,1.940692219905366
134341,ADM,2019-02-07,53.7981588431977,53.28334392603792,53.8238995890557,52.92297348402607,4076600,United States,Farm Products,Consumer Defensive,0.7963854288053934
134342,ADM,2019-02-08,54.0555663017776,53.74667735148172,54.11991816642257,53.20612168846396,6580400,United States,Farm Products,Consumer Defensive,1.67287573688196
134343,ADM,2019-02-11,53.836769961984686,54.06843667470659,54.14565891228056,53.24473280725093,3569200,United States,Farm Products,Consumer Defensive,2.2815495619351345
134344,ADM,2019-02-12,54.24862189571252,54.49315898136342,54.80204793165929,53.97834406420363,3322100,United States,Farm Products,Consumer Defensive,3.0849990110053382
134345,ADM,2019-02-13,54.570381218937385,54.570381218937385,54.89214054216225,54.19714040399654,3046600,United States,Farm Products,Consumer Defensive,3.2310807290180903
134346,ADM,2019-02-14,54.37732562500247,54.36445525207348,54.905010915091246,54.18427003106755,2990000,United States,Farm Products,Consumer Defensive,2.841529480984071
134347,ADM,2019-02-15,54.428807116718446,54.02982555591961,54.75056643994331,53.8238995890557,4056100,United States,Farm Products,Consumer Defensive,2.2085087029287584
134348,ADM,2019-02-19,54.0555663017776,53.86251070784268,54.10704779349358,53.78528847026871,4843000,United States,Farm Products,Consumer Defensive,1.8919983139011152
134349,ADM,2019-02-20,53.92686257248765,54.01695518299061,54.33871450621548,53.7981588431977,5803100,United States,Farm Products,Consumer Defensive,2.184161749926633
134350,ADM,2019-02-21,54.01695518299061,54.78917755873029,55.04658501731019,53.8238995890557,5061100,United States,Farm Products,Consumer Defensive,3.644978930054248
134351,ADM,2019-02-22,54.5446404730794,54.68621457529834,55.31686284881907,54.37732562500247,4361800,United States,Farm Products,Consumer Defensive,3.450203306037245
134352,ADM,2019-02-25,54.905010915091246,54.60899233772437,55.05945539023919,54.55751084600839,3786600,United States,Farm Products,Consumer Defensive,3.30412158802448
134353,ADM,2019-02-26,54.71195532115632,54.46741823550543,54.91788128802025,54.39019599793146,3551900,United States,Farm Products,Consumer Defensive,3.036305105001074
134354,ADM,2019-02-27,54.33871450621548,54.853529423375264,54.95649240680723,54.23575152278352,3052700,United States,Farm Products,Consumer Defensive,3.766713695064875
134355,ADM,2019-02-28,54.94362203387823,54.69908494822733,55.03371464438119,54.5446404730794,2973400,United States,Farm Products,Consumer Defensive,3.4745502590393573
134356,ADM,2019-03-01,54.67251005792895,54.4032505102703,54.92894772236577,53.91601894784034,2556200,United States,Farm Products,Consumer Defensive,2.9149186774925484
134357,ADM,2019-03-04,54.557113108932384,54.15963472905533,54.60840064181976,53.59547186729433,3550600,United States,Farm Products,Consumer Defensive,2.454069406959358
134358,ADM,2019-03-05,54.04423778005875,54.172456612277166,54.416072393492136,53.839087648509306,2864300,United States,Farm Products,Consumer Defensive,2.4783246317242607
134359,ADM,2019-03-06,54.287853561273735,54.01859401361508,54.326319210939246,53.74933446595642,2643200,United States,Farm Products,Consumer Defensive,2.1872619345454023
134360,ADM,2019-03-07,54.05705966328059,54.06988154650244,54.22374414516453,53.31339043641383,2856100,United States,Farm Products,Consumer Defensive,2.2842828336050127
134361,ADM,2019-03-08,54.00577213039323,53.74933446595642,54.09552531294612,53.45443115185408,2604500,United States,Farm Products,Consumer Defensive,1.6779022144823932
134362,ADM,2019-03-11,53.762156349178255,54.92894772236577,54.993057138474974,53.762156349178255,2895900,United States,Farm Products,Consumer Defensive,3.909382892853664
134363,ADM,2019-03-12,54.980235255253135,55.018700904918646,55.2879604525773,54.76226324048184,4006200,United States,Farm Products,Consumer Defensive,4.079169466207982
134364,ADM,2019-03-13,55.04434467136233,55.48028870090492,55.95469838011303,55.005879021696806,3082700,United States,Farm Products,Consumer Defensive,4.952357557744583
134365,ADM,2019-03-14,55.51875435057044,55.58286376667965,55.71108259889806,55.31360421902099,3894100,United States,Farm Products,Consumer Defensive,5.146399355863818
134366,ADM,2019-03-15,55.59568564990148,55.36489175190835,56.18549227810616,55.2879604525773,7504400,United States,Farm Products,Consumer Defensive,4.734060534860434
134367,ADM,2019-03-18,55.39053551835204,54.46735992637949,55.48028870090492,54.287853561273735,4771200,United States,Farm Products,Consumer Defensive,3.036194801317061
134368,ADM,2019-03-19,54.62122252504159,55.146919737137054,55.63415129956701,54.56993499215423,4566100,United States,Farm Products,Consumer Defensive,4.321721713857034
134369,ADM,2019-03-20,55.15974162035891,54.23656602838636,55.15974162035891,53.967306480727714,3581300,United States,Farm Products,Consumer Defensive,2.599600755548774
134370,ADM,2019-03-21,54.24938791160821,54.980235255253135,55.108454087471536,54.14681284583348,2797700,United States,Farm Products,Consumer Defensive,4.006403791913287
134371,ADM,2019-03-22,55.005879021696806,54.64686629148527,55.095632204249696,54.44171615993582,2594400,United States,Farm Products,Consumer Defensive,3.375767948025738
134372,ADM,2019-03-25,54.454538043157655,54.300675444495575,55.13409785391522,54.24938791160821,2731000,United States,Farm Products,Consumer Defensive,2.720876879373314
134373,ADM,2019-03-26,54.22374414516453,54.22374414516453,54.557113108932384,53.69804693306906,3825200,United States,Farm Products,Consumer Defensive,2.575345530783871
134374,ADM,2019-03-27,54.22374414516453,54.48018180960134,54.54429122571055,53.980128363949554,2888500,United States,Farm Products,Consumer Defensive,3.0604500260819774
134375,ADM,2019-03-28,54.44171615993582,54.77508512370368,54.78790700692552,54.36478486060477,2195800,United States,Farm Products,Consumer Defensive,3.618320195674792
134376,ADM,2019-03-29,54.90330395592208,55.30078233579915,55.36489175190835,54.8135507733692,2577400,United States,Farm Products,Consumer Defensive,4.612784411035906
134377,ADM,2019-04-01,55.208612601035135,54.5188242899625,55.52795904134653,54.391085713837946,2998300,United States,Farm Products,Consumer Defensive,3.133550211945225
134378,ADM,2019-04-02,54.58269357802478,53.98232227023935,54.59546743563725,53.96954841262689,3141000,United States,Farm Products,Consumer Defensive,2.118646484461234
134379,ADM,2019-04-03,53.98232227023935,53.93122683978952,54.084513131139005,53.65020197231549,3379700,United States,Farm Products,Consumer Defensive,2.02198898660561
134380,ADM,2019-04-04,54.03341770068917,54.58269357802478,55.04255245207321,53.95677455501444,3166700,United States,Farm Products,Consumer Defensive,3.254372084264744
134381,ADM,2019-04-05,54.480502717125134,54.83817073027391,54.863718445498826,54.35276414100058,2491300,United States,Farm Products,Consumer Defensive,3.737659573542851
134382,ADM,2019-04-08,54.82539687266146,55.04255245207321,55.15751717058531,54.633789008474615,2720200,United States,Farm Products,Consumer Defensive,4.124289564965333
134383,ADM,2019-04-09,55.01700473684829,54.646562866087066,55.09364788252303,54.49327657473759,4127600,United States,Farm Products,Consumer Defensive,3.375193956584278
134384,ADM,2019-04-10,54.73597986937426,55.23416031626005,55.43854203805934,54.633789008474615,2487000,United States,Farm Products,Consumer Defensive,4.486755181923907
134385,ADM,2019-04-11,55.34912503477215,55.29802960432232,55.91117476972022,55.02977859446074,1965300,United States,Farm Products,Consumer Defensive,4.6075770542434125
134386,ADM,2019-04-12,55.29802960432232,55.41299432283444,55.50241132612162,55.08087402491057,3374000,United States,Farm Products,Consumer Defensive,4.82505642441857
134387,ADM,2019-04-15,55.4513158956718,55.36189889238461,55.540732898958986,55.14474331297286,2308700,United States,Farm Products,Consumer Defensive,4.728398926562946
134388,ADM,2019-04-16,55.489637468509166,54.90204001833619,55.69401919030847,54.74875372698671,1928600,United States,Farm Products,Consumer Defensive,3.8584814458623695
